Entity_0:  -> created,  at 0
Entity_2:replaced -> PositionComponent, fields[ x - -12.00336 y - -12.77165 ] at 1335.1594
Entity_3:replaced -> PositionComponent, fields[ x - 43.55167 y - 37.17181 ] at 1335.1594
Entity_4:replaced -> PositionComponent, fields[ x - -3.283045 y - 3.774094 ] at 1335.1594
Entity_5:replaced -> PositionComponent, fields[ x - 50.95935 y - 14.18685 ] at 1335.1594
Entity_6:replaced -> PositionComponent, fields[ x - 22.14745 y - 36.17359 ] at 1335.1594
Entity_7:replaced -> PositionComponent, fields[ x - -4.093247 y - -14.22491 ] at 1335.1594
Entity_8:replaced -> PositionComponent, fields[ x - 34.40243 y - 35.10654 ] at 1335.1594
Entity_9:replaced -> PositionComponent, fields[ x - 34.17445 y - 14.55006 ] at 1335.1594
Entity_10:replaced -> PositionComponent, fields[ x - -30.5 y - -8 ] at 1335.1594
Entity_11:replaced -> PositionComponent, fields[ x - -37.5 y - -1 ] at 1335.1594
Entity_0:replaced -> PlayerSpeedComponent, fields[ speedX - 0 speedY - 1 ] at 1350.7838
Entity_0:replaced -> PositionComponent, fields[ x - -55 y - 5 ] at 1350.7838
Entity_2:replaced -> PositionComponent, fields[ x - -12.9634 y - -12.77165 ] at 1350.7838
Entity_3:replaced -> PositionComponent, fields[ x - 43.32939 y - 37.17181 ] at 1350.7838
Entity_4:replaced -> PositionComponent, fields[ x - -4.149937 y - 3.774094 ] at 1350.7838
Entity_5:replaced -> PositionComponent, fields[ x - 50.83379 y - 14.18685 ] at 1350.7838
Entity_6:replaced -> PositionComponent, fields[ x - 21.61432 y - 36.17359 ] at 1350.7838
Entity_7:replaced -> PositionComponent, fields[ x - -5.008864 y - -14.22491 ] at 1350.7838
Entity_8:replaced -> PositionComponent, fields[ x - 34.03145 y - 35.10654 ] at 1350.7838
Entity_9:replaced -> PositionComponent, fields[ x - 33.79467 y - 14.55006 ] at 1350.7838
Entity_10:replaced -> PositionComponent, fields[ x - -30 y - -8 ] at 1350.7838
Entity_11:replaced -> PositionComponent, fields[ x - -37 y - -1 ] at 1350.7838
Entity_0:replaced -> PlayerSpeedComponent, fields[ speedX - 0 speedY - 1 ] at 1382.0409
Entity_0:replaced -> PositionComponent, fields[ x - -55 y - 6 ] at 1382.0409
Entity_2:replaced -> PositionComponent, fields[ x - -13.92345 y - -12.77165 ] at 1382.0409
Entity_3:replaced -> PositionComponent, fields[ x - 43.10712 y - 37.17181 ] at 1382.0409
Entity_4:replaced -> PositionComponent, fields[ x - -5.016829 y - 3.774094 ] at 1382.0409
Entity_5:replaced -> PositionComponent, fields[ x - 50.70822 y - 14.18685 ] at 1382.0409
Entity_6:replaced -> PositionComponent, fields[ x - 21.08118 y - 36.17359 ] at 1382.0409
Entity_7:replaced -> PositionComponent, fields[ x - -5.924481 y - -14.22491 ] at 1382.0409
Entity_8:replaced -> PositionComponent, fields[ x - 33.66047 y - 35.10654 ] at 1382.0409
Entity_9:replaced -> PositionComponent, fields[ x - 33.41488 y - 14.55006 ] at 1382.0409
Entity_10:replaced -> PositionComponent, fields[ x - -29.5 y - -8 ] at 1382.0409
Entity_11:replaced -> PositionComponent, fields[ x - -36.5 y - -1 ] at 1382.0409
Entity_0:replaced -> PlayerSpeedComponent, fields[ speedX - 0 speedY - 1 ] at 1382.0409
Entity_0:replaced -> PositionComponent, fields[ x - -55 y - 7 ] at 1382.0409
Entity_2:replaced -> PositionComponent, fields[ x - -14.88349 y - -12.77165 ] at 1382.0409
Entity_3:replaced -> PositionComponent, fields[ x - 42.88484 y - 37.17181 ] at 1382.0409
Entity_4:replaced -> PositionComponent, fields[ x - -5.88372 y - 3.774094 ] at 1382.0409
Entity_5:replaced -> PositionComponent, fields[ x - 50.58266 y - 14.18685 ] at 1382.0409
Entity_6:replaced -> PositionComponent, fields[ x - 20.54805 y - 36.17359 ] at 1382.0409
Entity_7:replaced -> PositionComponent, fields[ x - -6.840098 y - -14.22491 ] at 1382.0409
Entity_8:replaced -> PositionComponent, fields[ x - 33.28949 y - 35.10654 ] at 1382.0409
Entity_9:replaced -> PositionComponent, fields[ x - 33.03509 y - 14.55006 ] at 1382.0409
Entity_10:replaced -> PositionComponent, fields[ x - -29 y - -8 ] at 1382.0409
Entity_11:replaced -> PositionComponent, fields[ x - -36 y - -1 ] at 1382.0409
Entity_0:replaced -> PlayerSpeedComponent, fields[ speedX - 0 speedY - 1 ] at 1413.2924
Entity_0:replaced -> PositionComponent, fields[ x - -55 y - 8 ] at 1413.2924
Entity_2:replaced -> PositionComponent, fields[ x - -15.84354 y - -12.77165 ] at 1413.2924
Entity_3:replaced -> PositionComponent, fields[ x - 42.66257 y - 37.17181 ] at 1413.2924
Entity_4:replaced -> PositionComponent, fields[ x - -6.750612 y - 3.774094 ] at 1413.2924
Entity_5:replaced -> PositionComponent, fields[ x - 50.45709 y - 14.18685 ] at 1413.2924
Entity_6:replaced -> PositionComponent, fields[ x - 20.01492 y - 36.17359 ] at 1413.2924
Entity_7:replaced -> PositionComponent, fields[ x - -7.755715 y - -14.22491 ] at 1413.2924
Entity_8:replaced -> PositionComponent, fields[ x - 32.91851 y - 35.10654 ] at 1413.2924
Entity_9:replaced -> PositionComponent, fields[ x - 32.6553 y - 14.55006 ] at 1413.2924
Entity_10:replaced -> PositionComponent, fields[ x - -28.5 y - -8 ] at 1413.2924
Entity_11:replaced -> PositionComponent, fields[ x - -35.5 y - -1 ] at 1413.2924
Entity_0:replaced -> PlayerSpeedComponent, fields[ speedX - 0 speedY - 1 ] at 1428.9169
Entity_0:replaced -> PositionComponent, fields[ x - -55 y - 9 ] at 1428.9169
Entity_2:replaced -> PositionComponent, fields[ x - -16.80358 y - -12.77165 ] at 1428.9169
Entity_3:replaced -> PositionComponent, fields[ x - 42.44029 y - 37.17181 ] at 1428.9169
Entity_4:replaced -> PositionComponent, fields[ x - -7.617504 y - 3.774094 ] at 1428.9169
Entity_5:replaced -> PositionComponent, fields[ x - 50.33153 y - 14.18685 ] at 1428.9169
Entity_6:replaced -> PositionComponent, fields[ x - 19.48178 y - 36.17359 ] at 1428.9169
Entity_7:replaced -> PositionComponent, fields[ x - -8.671332 y - -14.22491 ] at 1428.9169
Entity_8:replaced -> PositionComponent, fields[ x - 32.54753 y - 35.10654 ] at 1428.9169
Entity_9:replaced -> PositionComponent, fields[ x - 32.27552 y - 14.55006 ] at 1428.9169
Entity_10:replaced -> PositionComponent, fields[ x - -28 y - -8 ] at 1428.9169
Entity_11:replaced -> PositionComponent, fields[ x - -35 y - -1 ] at 1428.9169
Entity_0:replaced -> PlayerSpeedComponent, fields[ speedX - 0 speedY - 1 ] at 1444.5547
Entity_0:replaced -> PositionComponent, fields[ x - -55 y - 10 ] at 1444.5547
Entity_2:replaced -> PositionComponent, fields[ x - -17.76363 y - -12.77165 ] at 1444.5547
Entity_3:replaced -> PositionComponent, fields[ x - 42.21802 y - 37.17181 ] at 1444.5547
Entity_4:replaced -> PositionComponent, fields[ x - -8.484396 y - 3.774094 ] at 1444.5547
Entity_5:replaced -> PositionComponent, fields[ x - 50.20596 y - 14.18685 ] at 1444.5547
Entity_6:replaced -> PositionComponent, fields[ x - 18.94865 y - 36.17359 ] at 1444.5547
Entity_7:replaced -> PositionComponent, fields[ x - -9.586949 y - -14.22491 ] at 1444.5547
Entity_8:replaced -> PositionComponent, fields[ x - 32.17655 y - 35.10654 ] at 1444.5547
Entity_9:replaced -> PositionComponent, fields[ x - 31.89573 y - 14.55006 ] at 1444.5547
Entity_10:replaced -> PositionComponent, fields[ x - -27.5 y - -8 ] at 1444.5547
Entity_11:replaced -> PositionComponent, fields[ x - -34.5 y - -1 ] at 1444.5547
Entity_0:replaced -> PlayerSpeedComponent, fields[ speedX - 0 speedY - 1 ] at 1460.1697
Entity_0:replaced -> PositionComponent, fields[ x - -55 y - 11 ] at 1460.1697
Entity_2:replaced -> PositionComponent, fields[ x - -18.72367 y - -12.77165 ] at 1460.1697
Entity_3:replaced -> PositionComponent, fields[ x - 41.99574 y - 37.17181 ] at 1460.1697
Entity_4:replaced -> PositionComponent, fields[ x - -9.351288 y - 3.774094 ] at 1460.1697
Entity_5:replaced -> PositionComponent, fields[ x - 50.0804 y - 14.18685 ] at 1460.1697
Entity_6:replaced -> PositionComponent, fields[ x - 18.41551 y - 36.17359 ] at 1460.1697
Entity_7:replaced -> PositionComponent, fields[ x - -10.50257 y - -14.22491 ] at 1460.1697
Entity_8:replaced -> PositionComponent, fields[ x - 31.80557 y - 35.10654 ] at 1460.1697
Entity_9:replaced -> PositionComponent, fields[ x - 31.51594 y - 14.55006 ] at 1460.1697
Entity_10:replaced -> PositionComponent, fields[ x - -27 y - -8 ] at 1460.1697
Entity_11:replaced -> PositionComponent, fields[ x - -34 y - -1 ] at 1460.1697
Entity_0:replaced -> PlayerSpeedComponent, fields[ speedX - 0 speedY - 1 ] at 1475.7942
Entity_0:replaced -> PositionComponent, fields[ x - -55 y - 12 ] at 1475.7942
Entity_2:replaced -> PositionComponent, fields[ x - -19.68372 y - -12.77165 ] at 1475.7942
Entity_3:replaced -> PositionComponent, fields[ x - 41.77347 y - 37.17181 ] at 1475.7942
Entity_4:replaced -> PositionComponent, fields[ x - -10.21818 y - 3.774094 ] at 1475.7942
Entity_5:replaced -> PositionComponent, fields[ x - 49.95483 y - 14.18685 ] at 1475.7942
Entity_6:replaced -> PositionComponent, fields[ x - 17.88238 y - 36.17359 ] at 1475.7942
Entity_7:replaced -> PositionComponent, fields[ x - -11.41818 y - -14.22491 ] at 1475.7942
Entity_8:replaced -> PositionComponent, fields[ x - 31.43459 y - 35.10654 ] at 1475.7942
Entity_9:replaced -> PositionComponent, fields[ x - 31.13615 y - 14.55006 ] at 1475.7942
Entity_10:replaced -> PositionComponent, fields[ x - -26.5 y - -8 ] at 1475.7942
Entity_11:replaced -> PositionComponent, fields[ x - -33.5 y - -1 ] at 1475.7942
Entity_0:replaced -> PlayerSpeedComponent, fields[ speedX - 0 speedY - 1 ] at 1491.4165
Entity_0:replaced -> PositionComponent, fields[ x - -55 y - 13 ] at 1491.4165
Entity_1:replaced -> ScoreComponent, fields[ score - 10 ] at 1491.4165
Entity_10:added -> DestroyBulletComponent,  at 1491.4165
Entity_2:added -> DestroyAsteroidComponent,  at 1491.4165
Entity_2:replaced -> PositionComponent, fields[ x - -20.64376 y - -12.77165 ] at 1491.4165
Entity_3:replaced -> PositionComponent, fields[ x - 41.55119 y - 37.17181 ] at 1491.4165
Entity_4:replaced -> PositionComponent, fields[ x - -11.08507 y - 3.774094 ] at 1491.4165
Entity_5:replaced -> PositionComponent, fields[ x - 49.82927 y - 14.18685 ] at 1491.4165
Entity_6:replaced -> PositionComponent, fields[ x - 17.34924 y - 36.17359 ] at 1491.4165
Entity_7:replaced -> PositionComponent, fields[ x - -12.3338 y - -14.22491 ] at 1491.4165
Entity_8:replaced -> PositionComponent, fields[ x - 31.06361 y - 35.10654 ] at 1491.4165
Entity_9:replaced -> PositionComponent, fields[ x - 30.75637 y - 14.55006 ] at 1491.4165
Entity_10:replaced -> PositionComponent, fields[ x - -26 y - -8 ] at 1491.4165
Entity_11:replaced -> PositionComponent, fields[ x - -33 y - -1 ] at 1491.4165
Entity_2:  -> destroyed,  at 1491.4165
Entity_10:  -> destroyed,  at 1491.4165
Entity_0:replaced -> PlayerSpeedComponent, fields[ speedX - 0 speedY - 1 ] at 1507.0492
Entity_12:  -> created,  at 1507.0492
Entity_12:added -> Entitas.Unity.VisualProfilingTool.DebugComponent, fields[ debugBehaviour - Entity_12(Entitas.Unity.VisualProfilingTool.DebugComponent) (Entitas.Unity.VisualProfilingTool.EntityDebugBehaviour) ] at 1507.0492
Entity_12:added -> BulletComponent,  at 1507.0492
Entity_12:added -> GameObjectComponent, fields[ gameObject - Bullet(Clone) (UnityEngine.GameObject) ] at 1507.0492
Entity_12:added -> PositionComponent, fields[ x - -40 y - 13 ] at 1507.0492
Entity_0:replaced -> PositionComponent, fields[ x - -55 y - 14 ] at 1507.0492
Entity_13:  -> created,  at 1507.0492
Entity_13:added -> Entitas.Unity.VisualProfilingTool.DebugComponent, fields[ debugBehaviour - Entity_13(Entitas.Unity.VisualProfilingTool.DebugComponent) (Entitas.Unity.VisualProfilingTool.EntityDebugBehaviour) ] at 1507.0492
Entity_13:added -> AsteroidComponent,  at 1507.0492
Entity_13:added -> PositionComponent, fields[ x - 60 y - -34.31194 ] at 1507.0492
Entity_13:added -> GameObjectComponent, fields[ gameObject - Asteroid(Clone) (UnityEngine.GameObject) ] at 1507.0492
Entity_13:added -> AsteroidSpeedComponent, fields[ speed - 0.2209657 ] at 1507.0492
Entity_13:replaced -> PositionComponent, fields[ x - 59.77903 y - -34.31194 ] at 1507.0492
Entity_3:replaced -> PositionComponent, fields[ x - 41.32892 y - 37.17181 ] at 1507.0492
Entity_4:replaced -> PositionComponent, fields[ x - -11.95196 y - 3.774094 ] at 1507.0492
Entity_5:replaced -> PositionComponent, fields[ x - 49.7037 y - 14.18685 ] at 1507.0492
Entity_6:replaced -> PositionComponent, fields[ x - 16.81611 y - 36.17359 ] at 1507.0492
Entity_7:replaced -> PositionComponent, fields[ x - -13.24942 y - -14.22491 ] at 1507.0492
Entity_8:replaced -> PositionComponent, fields[ x - 30.69263 y - 35.10654 ] at 1507.0492
Entity_9:replaced -> PositionComponent, fields[ x - 30.37658 y - 14.55006 ] at 1507.0492
Entity_12:replaced -> PositionComponent, fields[ x - -39.5 y - 13 ] at 1507.0492
Entity_11:replaced -> PositionComponent, fields[ x - -32.5 y - -1 ] at 1507.0492
Entity_0:replaced -> PlayerSpeedComponent, fields[ speedX - 0 speedY - 1 ] at 1522.6711
Entity_0:replaced -> PositionComponent, fields[ x - -55 y - 15 ] at 1522.6711
Entity_13:replaced -> PositionComponent, fields[ x - 59.55807 y - -34.31194 ] at 1522.6711
Entity_3:replaced -> PositionComponent, fields[ x - 41.10664 y - 37.17181 ] at 1522.6711
Entity_4:replaced -> PositionComponent, fields[ x - -12.81886 y - 3.774094 ] at 1522.6711
Entity_5:replaced -> PositionComponent, fields[ x - 49.57814 y - 14.18685 ] at 1522.6711
Entity_6:replaced -> PositionComponent, fields[ x - 16.28297 y - 36.17359 ] at 1522.6711
Entity_7:replaced -> PositionComponent, fields[ x - -14.16503 y - -14.22491 ] at 1522.6711
Entity_8:replaced -> PositionComponent, fields[ x - 30.32165 y - 35.10654 ] at 1522.6711
Entity_9:replaced -> PositionComponent, fields[ x - 29.99679 y - 14.55006 ] at 1522.6711
Entity_12:replaced -> PositionComponent, fields[ x - -39 y - 13 ] at 1522.6711
Entity_11:replaced -> PositionComponent, fields[ x - -32 y - -1 ] at 1522.6711
Entity_0:replaced -> PlayerSpeedComponent, fields[ speedX - 0 speedY - 1 ] at 1538.2985
Entity_0:replaced -> PositionComponent, fields[ x - -55 y - 16 ] at 1538.2985
Entity_13:replaced -> PositionComponent, fields[ x - 59.3371 y - -34.31194 ] at 1538.2985
Entity_3:replaced -> PositionComponent, fields[ x - 40.88437 y - 37.17181 ] at 1538.2985
Entity_4:replaced -> PositionComponent, fields[ x - -13.68575 y - 3.774094 ] at 1538.2985
Entity_5:replaced -> PositionComponent, fields[ x - 49.45258 y - 14.18685 ] at 1538.2985
Entity_6:replaced -> PositionComponent, fields[ x - 15.74984 y - 36.17359 ] at 1538.2985
Entity_7:replaced -> PositionComponent, fields[ x - -15.08065 y - -14.22491 ] at 1538.2985
Entity_8:replaced -> PositionComponent, fields[ x - 29.95066 y - 35.10654 ] at 1538.2985
Entity_9:replaced -> PositionComponent, fields[ x - 29.617 y - 14.55006 ] at 1538.2985
Entity_12:replaced -> PositionComponent, fields[ x - -38.5 y - 13 ] at 1538.2985
Entity_11:replaced -> PositionComponent, fields[ x - -31.5 y - -1 ] at 1538.2985
Entity_0:replaced -> PlayerSpeedComponent, fields[ speedX - 0 speedY - 1 ] at 1553.9226
Entity_0:replaced -> PositionComponent, fields[ x - -55 y - 17 ] at 1553.9226
Entity_13:replaced -> PositionComponent, fields[ x - 59.11613 y - -34.31194 ] at 1553.9226
Entity_3:replaced -> PositionComponent, fields[ x - 40.66209 y - 37.17181 ] at 1553.9226
Entity_4:replaced -> PositionComponent, fields[ x - -14.55264 y - 3.774094 ] at 1553.9226
Entity_5:replaced -> PositionComponent, fields[ x - 49.32701 y - 14.18685 ] at 1553.9226
Entity_6:replaced -> PositionComponent, fields[ x - 15.21671 y - 36.17359 ] at 1553.9226
Entity_7:replaced -> PositionComponent, fields[ x - -15.99627 y - -14.22491 ] at 1553.9226
Entity_8:replaced -> PositionComponent, fields[ x - 29.57968 y - 35.10654 ] at 1553.9226
Entity_9:replaced -> PositionComponent, fields[ x - 29.23722 y - 14.55006 ] at 1553.9226
Entity_12:replaced -> PositionComponent, fields[ x - -38 y - 13 ] at 1553.9226
Entity_11:replaced -> PositionComponent, fields[ x - -31 y - -1 ] at 1553.9226
Entity_0:replaced -> PlayerSpeedComponent, fields[ speedX - 0 speedY - 1 ] at 1569.5479
Entity_0:replaced -> PositionComponent, fields[ x - -55 y - 18 ] at 1569.5479
Entity_13:replaced -> PositionComponent, fields[ x - 58.89517 y - -34.31194 ] at 1569.5479
Entity_3:replaced -> PositionComponent, fields[ x - 40.43982 y - 37.17181 ] at 1569.5479
Entity_4:replaced -> PositionComponent, fields[ x - -15.41953 y - 3.774094 ] at 1569.5479
Entity_5:replaced -> PositionComponent, fields[ x - 49.20145 y - 14.18685 ] at 1569.5479
Entity_6:replaced -> PositionComponent, fields[ x - 14.68357 y - 36.17359 ] at 1569.5479
Entity_7:replaced -> PositionComponent, fields[ x - -16.91189 y - -14.22491 ] at 1569.5479
Entity_8:replaced -> PositionComponent, fields[ x - 29.2087 y - 35.10654 ] at 1569.5479
Entity_9:replaced -> PositionComponent, fields[ x - 28.85743 y - 14.55006 ] at 1569.5479
Entity_12:replaced -> PositionComponent, fields[ x - -37.5 y - 13 ] at 1569.5479
Entity_11:replaced -> PositionComponent, fields[ x - -30.5 y - -1 ] at 1569.5479
Entity_0:replaced -> PlayerSpeedComponent, fields[ speedX - 0 speedY - 1 ] at 1585.1745
Entity_0:replaced -> PositionComponent, fields[ x - -55 y - 19 ] at 1585.1745
Entity_13:replaced -> PositionComponent, fields[ x - 58.6742 y - -34.31194 ] at 1585.1745
Entity_3:replaced -> PositionComponent, fields[ x - 40.21754 y - 37.17181 ] at 1585.1745
Entity_4:replaced -> PositionComponent, fields[ x - -16.28642 y - 3.774094 ] at 1585.1745
Entity_5:replaced -> PositionComponent, fields[ x - 49.07588 y - 14.18685 ] at 1585.1745
Entity_6:replaced -> PositionComponent, fields[ x - 14.15044 y - 36.17359 ] at 1585.1745
Entity_7:replaced -> PositionComponent, fields[ x - -17.8275 y - -14.22491 ] at 1585.1745
Entity_8:replaced -> PositionComponent, fields[ x - 28.83772 y - 35.10654 ] at 1585.1745
Entity_9:replaced -> PositionComponent, fields[ x - 28.47764 y - 14.55006 ] at 1585.1745
Entity_12:replaced -> PositionComponent, fields[ x - -37 y - 13 ] at 1585.1745
Entity_11:replaced -> PositionComponent, fields[ x - -30 y - -1 ] at 1585.1745
Entity_0:replaced -> PlayerSpeedComponent, fields[ speedX - 0 speedY - 1 ] at 1600.799
Entity_0:replaced -> PositionComponent, fields[ x - -55 y - 20 ] at 1600.799
Entity_13:replaced -> PositionComponent, fields[ x - 58.45324 y - -34.31194 ] at 1600.799
Entity_3:replaced -> PositionComponent, fields[ x - 39.99527 y - 37.17181 ] at 1600.799
Entity_4:replaced -> PositionComponent, fields[ x - -17.15331 y - 3.774094 ] at 1600.799
Entity_5:replaced -> PositionComponent, fields[ x - 48.95032 y - 14.18685 ] at 1600.799
Entity_6:replaced -> PositionComponent, fields[ x - 13.61731 y - 36.17359 ] at 1600.799
Entity_7:replaced -> PositionComponent, fields[ x - -18.74312 y - -14.22491 ] at 1600.799
Entity_8:replaced -> PositionComponent, fields[ x - 28.46674 y - 35.10654 ] at 1600.799
Entity_9:replaced -> PositionComponent, fields[ x - 28.09785 y - 14.55006 ] at 1600.799
Entity_12:replaced -> PositionComponent, fields[ x - -36.5 y - 13 ] at 1600.799
Entity_11:replaced -> PositionComponent, fields[ x - -29.5 y - -1 ] at 1600.799
Entity_0:replaced -> PlayerSpeedComponent, fields[ speedX - 0 speedY - 1 ] at 1632.0582
Entity_0:replaced -> PositionComponent, fields[ x - -55 y - 21 ] at 1632.0582
Entity_13:replaced -> PositionComponent, fields[ x - 58.23227 y - -34.31194 ] at 1632.0582
Entity_3:replaced -> PositionComponent, fields[ x - 39.77299 y - 37.17181 ] at 1632.0582
Entity_4:replaced -> PositionComponent, fields[ x - -18.02021 y - 3.774094 ] at 1632.0582
Entity_5:replaced -> PositionComponent, fields[ x - 48.82475 y - 14.18685 ] at 1632.0582
Entity_6:replaced -> PositionComponent, fields[ x - 13.08417 y - 36.17359 ] at 1632.0582
Entity_7:replaced -> PositionComponent, fields[ x - -19.65874 y - -14.22491 ] at 1632.0582
Entity_8:replaced -> PositionComponent, fields[ x - 28.09576 y - 35.10654 ] at 1632.0582
Entity_9:replaced -> PositionComponent, fields[ x - 27.71807 y - 14.55006 ] at 1632.0582
Entity_12:replaced -> PositionComponent, fields[ x - -36 y - 13 ] at 1632.0582
Entity_11:replaced -> PositionComponent, fields[ x - -29 y - -1 ] at 1632.0582
Entity_0:replaced -> PlayerSpeedComponent, fields[ speedX - 0 speedY - 1 ] at 1632.0582
Entity_0:replaced -> PositionComponent, fields[ x - -55 y - 22 ] at 1632.0582
Entity_13:replaced -> PositionComponent, fields[ x - 58.0113 y - -34.31194 ] at 1632.0582
Entity_3:replaced -> PositionComponent, fields[ x - 39.55072 y - 37.17181 ] at 1632.0582
Entity_4:replaced -> PositionComponent, fields[ x - -18.8871 y - 3.774094 ] at 1632.0582
Entity_5:replaced -> PositionComponent, fields[ x - 48.69919 y - 14.18685 ] at 1632.0582
Entity_6:replaced -> PositionComponent, fields[ x - 12.55104 y - 36.17359 ] at 1632.0582
Entity_7:replaced -> PositionComponent, fields[ x - -20.57435 y - -14.22491 ] at 1632.0582
Entity_8:replaced -> PositionComponent, fields[ x - 27.72478 y - 35.10654 ] at 1632.0582
Entity_9:replaced -> PositionComponent, fields[ x - 27.33828 y - 14.55006 ] at 1632.0582
Entity_12:replaced -> PositionComponent, fields[ x - -35.5 y - 13 ] at 1632.0582
Entity_11:replaced -> PositionComponent, fields[ x - -28.5 y - -1 ] at 1632.0582
Entity_0:replaced -> PlayerSpeedComponent, fields[ speedX - 0 speedY - 1 ] at 1663.3055
Entity_0:replaced -> PositionComponent, fields[ x - -55 y - 23 ] at 1663.3055
Entity_13:replaced -> PositionComponent, fields[ x - 57.79034 y - -34.31194 ] at 1663.3055
Entity_3:replaced -> PositionComponent, fields[ x - 39.32845 y - 37.17181 ] at 1663.3055
Entity_4:replaced -> PositionComponent, fields[ x - -19.75399 y - 3.774094 ] at 1663.3055
Entity_5:replaced -> PositionComponent, fields[ x - 48.57362 y - 14.18685 ] at 1663.3055
Entity_6:replaced -> PositionComponent, fields[ x - 12.01791 y - 36.17359 ] at 1663.3055
Entity_7:replaced -> PositionComponent, fields[ x - -21.48997 y - -14.22491 ] at 1663.3055
Entity_8:replaced -> PositionComponent, fields[ x - 27.3538 y - 35.10654 ] at 1663.3055
Entity_9:replaced -> PositionComponent, fields[ x - 26.95849 y - 14.55006 ] at 1663.3055
Entity_12:replaced -> PositionComponent, fields[ x - -35 y - 13 ] at 1663.3055
Entity_11:replaced -> PositionComponent, fields[ x - -28 y - -1 ] at 1663.3055
Entity_0:replaced -> PlayerSpeedComponent, fields[ speedX - 0 speedY - 0 ] at 1678.9471
Entity_0:replaced -> PositionComponent, fields[ x - -55 y - 23 ] at 1678.9471
Entity_13:replaced -> PositionComponent, fields[ x - 57.56937 y - -34.31194 ] at 1678.9471
Entity_3:replaced -> PositionComponent, fields[ x - 39.10617 y - 37.17181 ] at 1678.9471
Entity_4:replaced -> PositionComponent, fields[ x - -20.62088 y - 3.774094 ] at 1678.9471
Entity_5:replaced -> PositionComponent, fields[ x - 48.44806 y - 14.18685 ] at 1678.9471
Entity_6:replaced -> PositionComponent, fields[ x - 11.48477 y - 36.17359 ] at 1678.9471
Entity_7:replaced -> PositionComponent, fields[ x - -22.40559 y - -14.22491 ] at 1678.9471
Entity_8:replaced -> PositionComponent, fields[ x - 26.98281 y - 35.10654 ] at 1678.9471
Entity_9:replaced -> PositionComponent, fields[ x - 26.5787 y - 14.55006 ] at 1678.9471
Entity_12:replaced -> PositionComponent, fields[ x - -34.5 y - 13 ] at 1678.9471
Entity_11:replaced -> PositionComponent, fields[ x - -27.5 y - -1 ] at 1678.9471
Entity_1:replaced -> ScoreComponent, fields[ score - 20 ] at 1694.5698
Entity_11:added -> DestroyBulletComponent,  at 1694.5698
Entity_4:added -> DestroyAsteroidComponent,  at 1694.5698
Entity_13:replaced -> PositionComponent, fields[ x - 57.3484 y - -34.31194 ] at 1694.5698
Entity_3:replaced -> PositionComponent, fields[ x - 38.8839 y - 37.17181 ] at 1694.5698
Entity_4:replaced -> PositionComponent, fields[ x - -21.48777 y - 3.774094 ] at 1694.5698
Entity_5:replaced -> PositionComponent, fields[ x - 48.32249 y - 14.18685 ] at 1694.5698
Entity_6:replaced -> PositionComponent, fields[ x - 10.95164 y - 36.17359 ] at 1694.5698
Entity_7:replaced -> PositionComponent, fields[ x - -23.32121 y - -14.22491 ] at 1694.5698
Entity_8:replaced -> PositionComponent, fields[ x - 26.61183 y - 35.10654 ] at 1694.5698
Entity_9:replaced -> PositionComponent, fields[ x - 26.19892 y - 14.55006 ] at 1694.5698
Entity_12:replaced -> PositionComponent, fields[ x - -34 y - 13 ] at 1694.5698
Entity_11:replaced -> PositionComponent, fields[ x - -27 y - -1 ] at 1694.5698
Entity_4:  -> destroyed,  at 1694.5698
Entity_11:  -> destroyed,  at 1694.5698
Entity_14:  -> created,  at 1710.1823
Entity_14:added -> Entitas.Unity.VisualProfilingTool.DebugComponent, fields[ debugBehaviour - Entity_14(Entitas.Unity.VisualProfilingTool.DebugComponent) (Entitas.Unity.VisualProfilingTool.EntityDebugBehaviour) ] at 1710.1823
Entity_14:added -> AsteroidComponent,  at 1710.1823
Entity_14:added -> PositionComponent, fields[ x - 60 y - 13.70838 ] at 1710.1823
Entity_14:added -> GameObjectComponent, fields[ gameObject - Asteroid(Clone) (UnityEngine.GameObject) ] at 1710.1823
Entity_14:added -> AsteroidSpeedComponent, fields[ speed - 0.2173841 ] at 1710.1823
Entity_13:replaced -> PositionComponent, fields[ x - 57.12744 y - -34.31194 ] at 1710.1823
Entity_3:replaced -> PositionComponent, fields[ x - 38.66162 y - 37.17181 ] at 1710.1823
Entity_14:replaced -> PositionComponent, fields[ x - 59.78262 y - 13.70838 ] at 1710.1823
Entity_5:replaced -> PositionComponent, fields[ x - 48.19693 y - 14.18685 ] at 1710.1823
Entity_6:replaced -> PositionComponent, fields[ x - 10.41851 y - 36.17359 ] at 1710.1823
Entity_7:replaced -> PositionComponent, fields[ x - -24.23682 y - -14.22491 ] at 1710.1823
Entity_8:replaced -> PositionComponent, fields[ x - 26.24085 y - 35.10654 ] at 1710.1823
Entity_9:replaced -> PositionComponent, fields[ x - 25.81913 y - 14.55006 ] at 1710.1823
Entity_12:replaced -> PositionComponent, fields[ x - -33.5 y - 13 ] at 1710.1823
Entity_13:replaced -> PositionComponent, fields[ x - 56.90647 y - -34.31194 ] at 1725.8231
Entity_3:replaced -> PositionComponent, fields[ x - 38.43935 y - 37.17181 ] at 1725.8231
Entity_14:replaced -> PositionComponent, fields[ x - 59.56523 y - 13.70838 ] at 1725.8231
