Entity_0:  -> created,  at 0
Entity_5:replaced -> PositionComponent, fields[ x - 59.62331 y - 14.18685 ] at 125.0048
Entity_6:replaced -> PositionComponent, fields[ x - 58.93373 y - 36.17359 ] at 125.0048
Entity_7:replaced -> PositionComponent, fields[ x - 59.08438 y - -14.22491 ] at 125.0048
Entity_8:  -> created,  at 156.2585
Entity_8:added -> Entitas.Unity.VisualProfilingTool.DebugComponent, fields[ debugBehaviour - Entity_8(Entitas.Unity.VisualProfilingTool.DebugComponent) (Entitas.Unity.VisualProfilingTool.EntityDebugBehaviour) ] at 156.2585
Entity_8:added -> AsteroidComponent,  at 156.2585
Entity_8:added -> PositionComponent, fields[ x - 60 y - 35.10654 ] at 156.2585
Entity_8:added -> GameObjectComponent, fields[ gameObject - Asteroid(Clone) (UnityEngine.GameObject) ] at 156.2585
Entity_8:added -> AsteroidSpeedComponent, fields[ speed - 0.3709809 ] at 156.2585
Entity_2:replaced -> PositionComponent, fields[ x - 53.27969 y - -12.77165 ] at 156.2585
Entity_3:replaced -> PositionComponent, fields[ x - 58.66635 y - 37.17181 ] at 156.2585
Entity_4:replaced -> PositionComponent, fields[ x - 55.66555 y - 3.774094 ] at 156.2585
Entity_5:replaced -> PositionComponent, fields[ x - 59.49774 y - 14.18685 ] at 156.2585
Entity_6:replaced -> PositionComponent, fields[ x - 58.4006 y - 36.17359 ] at 156.2585
Entity_7:replaced -> PositionComponent, fields[ x - 58.16876 y - -14.22491 ] at 156.2585
Entity_8:replaced -> PositionComponent, fields[ x - 59.62902 y - 35.10654 ] at 156.2585
Entity_9:  -> created,  at 171.8821
Entity_9:added -> Entitas.Unity.VisualProfilingTool.DebugComponent, fields[ debugBehaviour - Entity_9(Entitas.Unity.VisualProfilingTool.DebugComponent) (Entitas.Unity.VisualProfilingTool.EntityDebugBehaviour) ] at 171.8821
Entity_9:added -> AsteroidComponent,  at 171.8821
Entity_9:added -> PositionComponent, fields[ x - 60 y - 14.55006 ] at 171.8821
Entity_9:added -> GameObjectComponent, fields[ gameObject - Asteroid(Clone) (UnityEngine.GameObject) ] at 171.8821
Entity_9:added -> AsteroidSpeedComponent, fields[ speed - 0.379787 ] at 171.8821
Entity_2:replaced -> PositionComponent, fields[ x - 52.31964 y - -12.77165 ] at 171.8821
Entity_3:replaced -> PositionComponent, fields[ x - 58.44408 y - 37.17181 ] at 171.8821
Entity_4:replaced -> PositionComponent, fields[ x - 54.79866 y - 3.774094 ] at 171.8821
Entity_5:replaced -> PositionComponent, fields[ x - 59.37218 y - 14.18685 ] at 171.8821
Entity_6:replaced -> PositionComponent, fields[ x - 57.86746 y - 36.17359 ] at 171.8821
Entity_7:replaced -> PositionComponent, fields[ x - 57.25314 y - -14.22491 ] at 171.8821
Entity_8:replaced -> PositionComponent, fields[ x - 59.25804 y - 35.10654 ] at 171.8821
Entity_9:replaced -> PositionComponent, fields[ x - 59.62021 y - 14.55006 ] at 171.8821
Entity_2:replaced -> PositionComponent, fields[ x - 51.3596 y - -12.77165 ] at 203.1418
Entity_3:replaced -> PositionComponent, fields[ x - 58.2218 y - 37.17181 ] at 203.1418
Entity_4:replaced -> PositionComponent, fields[ x - 53.93177 y - 3.774094 ] at 203.1418
Entity_5:replaced -> PositionComponent, fields[ x - 59.24661 y - 14.18685 ] at 203.1418
Entity_6:replaced -> PositionComponent, fields[ x - 57.33433 y - 36.17359 ] at 203.1418
Entity_7:replaced -> PositionComponent, fields[ x - 56.33752 y - -14.22491 ] at 203.1418
Entity_8:replaced -> PositionComponent, fields[ x - 58.88706 y - 35.10654 ] at 203.1418
Entity_9:replaced -> PositionComponent, fields[ x - 59.24043 y - 14.55006 ] at 203.1418
Entity_2:replaced -> PositionComponent, fields[ x - 50.39955 y - -12.77165 ] at 218.7603
Entity_3:replaced -> PositionComponent, fields[ x - 57.99953 y - 37.17181 ] at 218.7603
Entity_4:replaced -> PositionComponent, fields[ x - 53.06488 y - 3.774094 ] at 218.7603
Entity_5:replaced -> PositionComponent, fields[ x - 59.12105 y - 14.18685 ] at 218.7603
Entity_6:replaced -> PositionComponent, fields[ x - 56.80119 y - 36.17359 ] at 218.7603
Entity_7:replaced -> PositionComponent, fields[ x - 55.42191 y - -14.22491 ] at 218.7603
Entity_8:replaced -> PositionComponent, fields[ x - 58.51608 y - 35.10654 ] at 218.7603
Entity_9:replaced -> PositionComponent, fields[ x - 58.86064 y - 14.55006 ] at 218.7603
Entity_2:replaced -> PositionComponent, fields[ x - 49.43951 y - -12.77165 ] at 234.3847
Entity_3:replaced -> PositionComponent, fields[ x - 57.77725 y - 37.17181 ] at 234.3847
Entity_4:replaced -> PositionComponent, fields[ x - 52.19799 y - 3.774094 ] at 234.3847
Entity_5:replaced -> PositionComponent, fields[ x - 58.99548 y - 14.18685 ] at 234.3847
