Entity_10: added ViewComponent, fields[ gameObject - Finish Line(Clone) (UnityEngine.GameObject) ] at 0.109854
Entity_0: replaced PositionComponent, fields[ x - 0 y - 0 z - 0 ] at 0.111823
Entity_1: replaced PositionComponent, fields[ x - 1 y - 1.715422E-05 z - 0 ] at 0.111858
Entity_2: replaced PositionComponent, fields[ x - 2 y - 0.008355089 z - 0 ] at 0.111885
Entity_3: replaced PositionComponent, fields[ x - 3 y - 0.01352687 z - 0 ] at 0.111909
Entity_4: replaced PositionComponent, fields[ x - 4 y - 0.008494023 z - 0 ] at 0.111931
Entity_5: replaced PositionComponent, fields[ x - 5 y - 0.005847021 z - 0 ] at 0.111953
Entity_6: replaced PositionComponent, fields[ x - 6 y - 0.0128494 z - 0 ] at 0.111975
Entity_7: replaced PositionComponent, fields[ x - 7 y - 0.01097568 z - 0 ] at 0.111997
Entity_8: replaced PositionComponent, fields[ x - 8 y - 0.009140569 z - 0 ] at 0.112018
Entity_9: replaced PositionComponent, fields[ x - 9 y - 0.0008483649 z - 0 ] at 0.112039
Entity_0: replaced PositionComponent, fields[ x - 0 y - 0 z - 0 ] at 0.271352
Entity_1: replaced PositionComponent, fields[ x - 1 y - 3.430844E-05 z - 0 ] at 0.271421
Entity_2: replaced PositionComponent, fields[ x - 2 y - 0.01671018 z - 0 ] at 0.271447
Entity_3: replaced PositionComponent, fields[ x - 3 y - 0.02705373 z - 0 ] at 0.271471
Entity_4: replaced PositionComponent, fields[ x - 4 y - 0.01698805 z - 0 ] at 0.271494
Entity_5: replaced PositionComponent, fields[ x - 5 y - 0.01169404 z - 0 ] at 0.271516
Entity_6: replaced PositionComponent, fields[ x - 6 y - 0.0256988 z - 0 ] at 0.271537
Entity_7: replaced PositionComponent, fields[ x - 7 y - 0.02195137 z - 0 ] at 0.271559
Entity_8: replaced PositionComponent, fields[ x - 8 y - 0.01828114 z - 0 ] at 0.271582
Entity_9: replaced PositionComponent, fields[ x - 9 y - 0.00169673 z - 0 ] at 0.271604
Entity_0: replaced PositionComponent, fields[ x - 0 y - 0 z - 0 ] at 0.401076
Entity_1: replaced PositionComponent, fields[ x - 1 y - 5.146265E-05 z - 0 ] at 0.401127
Entity_2: replaced PositionComponent, fields[ x - 2 y - 0.02506527 z - 0 ] at 0.401156
Entity_3: replaced PositionComponent, fields[ x - 3 y - 0.0405806 z - 0 ] at 0.401182
Entity_4: replaced PositionComponent, fields[ x - 4 y - 0.02548207 z - 0 ] at 0.401208
Entity_5: replaced PositionComponent, fields[ x - 5 y - 0.01754106 z - 0 ] at 0.401237
Entity_6: replaced PositionComponent, fields[ x - 6 y - 0.0385482 z - 0 ] at 0.401264
Entity_7: replaced PositionComponent, fields[ x - 7 y - 0.03292705 z - 0 ] at 0.401289
Entity_8: replaced PositionComponent, fields[ x - 8 y - 0.02742171 z - 0 ] at 0.401314
Entity_9: replaced PositionComponent, fields[ x - 9 y - 0.002545095 z - 0 ] at 0.40134
Entity_0: replaced PositionComponent, fields[ x - 0 y - 0 z - 0 ] at 0.450175
Entity_1: replaced PositionComponent, fields[ x - 1 y - 6.861687E-05 z - 0 ] at 0.450223
Entity_2: replaced PositionComponent, fields[ x - 2 y - 0.03342036 z - 0 ] at 0.450246
Entity_3: replaced PositionComponent, fields[ x - 3 y - 0.05410747 z - 0 ] at 0.450273
Entity_4: replaced PositionComponent, fields[ x - 4 y - 0.03397609 z - 0 ] at 0.450293
Entity_5: replaced PositionComponent, fields[ x - 5 y - 0.02338808 z - 0 ] at 0.450312
Entity_6: replaced PositionComponent, fields[ x - 6 y - 0.0513976 z - 0 ] at 0.450332
Entity_7: replaced PositionComponent, fields[ x - 7 y - 0.04390274 z - 0 ] at 0.450355
Entity_8: replaced PositionComponent, fields[ x - 8 y - 0.03656228 z - 0 ] at 0.450377
Entity_9: replaced PositionComponent, fields[ x - 9 y - 0.00339346 z - 0 ] at 0.450395
Entity_0: replaced PositionComponent, fields[ x - 0 y - 0 z - 0 ] at 0.466863
Entity_1: replaced PositionComponent, fields[ x - 1 y - 8.577109E-05 z - 0 ] at 0.466919
Entity_2: replaced PositionComponent, fields[ x - 2 y - 0.04177545 z - 0 ] at 0.466947
Entity_3: replaced PositionComponent, fields[ x - 3 y - 0.06763434 z - 0 ] at 0.46697
Entity_4: replaced PositionComponent, fields[ x - 4 y - 0.04247012 z - 0 ] at 0.466993
Entity_5: replaced PositionComponent, fields[ x - 5 y - 0.0292351 z - 0 ] at 0.467015
Entity_6: replaced PositionComponent, fields[ x - 6 y - 0.064247 z - 0 ] at 0.467037
Entity_7: replaced PositionComponent, fields[ x - 7 y - 0.05487842 z - 0 ] at 0.467062
Entity_8: replaced PositionComponent, fields[ x - 8 y - 0.04570284 z - 0 ] at 0.467085
Entity_9: replaced PositionComponent, fields[ x - 9 y - 0.004241825 z - 0 ] at 0.467108
Entity_0: replaced PositionComponent, fields[ x - 0 y - 0 z - 0 ] at 0.483473
Entity_1: replaced PositionComponent, fields[ x - 1 y - 0.0001029253 z - 0 ] at 0.483518
Entity_2: replaced PositionComponent, fields[ x - 2 y - 0.05013053 z - 0 ] at 0.48354
Entity_3: replaced PositionComponent, fields[ x - 3 y - 0.0811612 z - 0 ] at 0.48356
Entity_4: replaced PositionComponent, fields[ x - 4 y - 0.05096414 z - 0 ] at 0.483579
Entity_5: replaced PositionComponent, fields[ x - 5 y - 0.03508212 z - 0 ] at 0.483598
Entity_6: replaced PositionComponent, fields[ x - 6 y - 0.0770964 z - 0 ] at 0.483617
Entity_7: replaced PositionComponent, fields[ x - 7 y - 0.0658541 z - 0 ] at 0.483636
